english,french
My name is John,Je m'appelle John
What book are you reading?,Quel livre lis-tu ?
I have a dog,J’ai un chien
This is my mother,C’est ma mère
It’s big,C’est grand
I like it,J’aime ça
Turn left,Tourne à gauche
Cheers,Santé
Hurry up,Dépêche-toi
Come here,Viens ici
Take care,Prends soin de toi
Five,Cinq
Let’s eat,Mangeons
Don’t worry,Ne t’inquiète pas
I’m not sure,Je ne suis pas sûr
Happy birthday,Joyeux anniversaire
I like sports,J’aime le sport
I’m sick,Je suis malade
"Repeat, please","Répétez, s’il vous plaît"
This is my friend,C’est mon ami
I’m tired,Je suis fatigué
Good luck,Bonne chance
I love my family,J’aime ma famille
Excuse me,Excusez-moi
Ten,Dix
Wait,Attends
I like movies,J’aime les films
One,Un
I'm from the USA,Je viens des États-Unis
It’s windy,Il y a du vent
Let’s finish,Finissons
Stop here,Arrête ici
How are you?,Comment ça va ?
I’m lost,Je suis perdu
Do you play football?,Joues-tu au football ?
It’s cheap,C’est bon marché
Where is the supermarket?,Où est le supermarché ?
I’m hungry,J’ai faim
Let’s begin,Commençons
Do you speak English?,Parlez-vous anglais ?
It’s cloudy,Il fait nuageux
Where is the airport?,Où est l’aéroport ?
Bon appétit,Bon appétit
Please,S'il vous plaît
It’s raining,Il pleut
I’m working,Je travaille
Nice to meet you,Enchanté
How old are you?,Quel âge as-tu ?
Let’s dance,Dansons
What is your name?,Comment tu t'appelles ?
Have a nice day,Bonne journée
I’m allergic to peanuts,Je suis allergique aux cacahuètes
What time is dinner?,À quelle heure est le dîner ?
Go straight,Va tout droit
Good game,Bon match
No,Non
I’m sad,Je suis triste
It’s late,Il est tard
I’m full,Je n’ai plus faim
Hello,Bonjour
Thank you very much,Merci beaucoup
How do I get there?,Comment y aller ?
That’s wrong,C’est faux
I’m a teacher,Je suis enseignant
See you tomorrow,À demain
Help!,À l’aide !
It’s sunny,Il fait soleil
I am 25 years old,J'ai 25 ans
Stop,Arrête
It’s early,Il est tôt
What’s your email?,Quel est ton email ?
Don’t forget,N’oublie pas
Where are you from?,D'où viens-tu ?
I'm learning French,J'apprends le français
Where is the hotel?,Où est l’hôtel ?
The food is delicious,La nourriture est délicieuse
It’s boring,C’est ennuyeux
Nine,Neuf
I’m bored,Je m’ennuie
It’s ugly,C’est moche
Let’s go,Allons-y
I’m happy,Je suis heureux
Do you have pets?,As-tu des animaux ?
It’s small,C’est petit
I don’t care,Je m’en fiche
Take your time,Prends ton temps
Let’s study,Étudions
I need a doctor,J’ai besoin d’un médecin
It’s near,C’est proche
You’re smart,Tu es intelligent
Go away,Va-t’en
I’m at school,Je suis à l’école
I am fine,Je vais bien
Six,Six
I don’t know,Je ne sais pas
Let’s watch a movie,Regardons un film
You’re very kind,Tu es très gentil
Can I take a photo?,Puis-je prendre une photo ?
Bon voyage,Bon voyage
What is this?,Qu'est-ce que c'est ?
It’s interesting,C’est intéressant
Bless you,À vos souhaits
Thank you,Merci
What’s your phone number?,Quel est ton numéro de téléphone ?
It’s fast,C’est rapide
It’s beautiful,C’est beau
This is my son,C’est mon fils
You’re beautiful,Tu es belle
It’s expensive,C’est cher
You're welcome,De rien
I'm sorry,Je suis désolé
I’m hot,J’ai chaud
This is my family,C’est ma famille
What’s your favorite song?,Quelle est ta chanson préférée ?
How much is this?,Combien ça coûte ?
Of course,Bien sûr
This is my sister,C’est ma sœur
I like reading,J’aime lire
Let’s sing,Chantons
You’re funny,Tu es drôle
I’m busy,Je suis occupé
I agree,Je suis d'accord
Eight,Huit
What does it mean?,Qu’est-ce que cela signifie ?
Be quiet,Silence
I’m cold,J’ai froid
Where is the hospital?,Où est l’hôpital ?
It’s old,C’est vieux
I speak a little French,Je parle un peu français
I don’t like it,Je n’aime pas ça
Let’s drink,Buvons
It’s important,C’est important
What’s the weather like?,Quel temps fait-il ?
I’m thirsty,J’ai soif
I’m at the office,Je suis au bureau
I’m ready,Je suis prêt
Good morning,Bon matin
Speak slowly,Parlez lentement
Is it far?,Est-ce loin ?
Do you like music?,Aimes-tu la musique ?
Do you have WhatsApp?,As-tu WhatsApp ?
Four,Quatre
Wait a moment,Attends un moment
I’m retired,Je suis retraité
It’s new,C’est nouveau
I think so,Je pense que oui
I have a cat,J’ai un chat
Good night,Bonne nuit
Can you help me?,Pouvez-vous m'aider ?
It’s urgent,C’est urgent
Really?,Vraiment ?
Seven,Sept
Goodbye,Au revoir
It’s slow,C’est lent
Have a good trip,Bon voyage
Three,Trois
